id,newspaper,city,state,e2016,e2012,circulation,date,link,lat,lng,geocoded.city,combo,blurb
88,The Birmingham News,Birmingham,Alabama,176087,10/9/2016,Hillary Clinton,No endorsement,The Birmingham News/Birmingham,33.5206608,-86.80249,,The Birmingham News/Birmingham,"Any endorsement of Clinton will be a bitter pill to swallow for many in our state. For some, her lifelong record of public service is the mark of a career politician, rather than a public servant. We've all watched her struggle to defend her emails, her charitable foundation and her record on foreign policy. Still, Hillary Clinton is more than qualified to be president, and in winning her party's nomination has reinforced the promise that our democratic process is equally open to all."
89,Press-Register,Mobile,Alabama,103373,10/9/2016,Hillary Clinton,No endorsement,Press-Register/Mobile,30.6953657,-88.0398912,,Press-Register/Mobile,Donald Trump must not be president.
90,The Huntsville Times,Huntsville,Alabama,67286,10/9/2016,Hillary Clinton,No endorsement,The Huntsville Times/Huntsville,34.7330408,-86.585251,,The Huntsville Times/Huntsville,"Trump shows little understanding of the complexities of domestic and international challenges. His thin skin, impulsiveness and temperament make him a high risk in tense situations. He offers no ideas on how to address increasing racial unrest in urban cities. He cavalierly promises to destroy ISIS with military power and illegal torture."
91,The Eagle-Tribune,North Andover,Massachusetts,36720,10/9/2016,Hillary Clinton,Mitt Romney,The Eagle-Tribune/North Andover,42.6987024,-71.1350575,,The Eagle-Tribune/North Andover,"We believe Trump jumped into the race to burnish his brand and sell more reality shows, steaks, neckties and bogus college degrees. He surprised even himself by winning the GOP nomination, helped by the arrogance and incompetence of the Republican establishment. His showmanship and bluster made him the winner in a farcical ""Survivor"" show primary process."
92,The Record,Stockton,California,71086,10/9/2016,Hillary Clinton,Barack Obama,The Record/Stockton,37.9577016,-121.2907796,,The Record/Stockton,This country is too great to elect such a non-qualified person as Trump as its president. Hillary Clinton is the only choice.
93,The Valdosta Daily Times,Valdosta,Georgia,18433,10/9/2016,Hillary Clinton,,The Valdosta Daily Times/Valdosta,30.8327022,-83.2784851,,The Valdosta Daily Times/Valdosta,"Her record of public service, her knowledge of complex world issues facing our nation, her steady hand and her measured leadership make her the only choice to become our nation’s next president."
94,Press-Republican,Plattsburgh,New York,14132,10/9/2016,Hillary Clinton,No endorsement,Press-Republican/Plattsburgh,44.6994873,-73.4529124,,Press-Republican/Plattsburgh,"It has been at least 40 years since the Press-Republican has endorsed a presidential candidate.\nBut the circumstances are so unusual and the stakes are so high in this year’s election, we are breaking with that tradition and supporting Democrat Hillary Clinton for president."
95,Cumberland Times-News,Cumberland,Maryland,30233,10/9/2016,Hillary Clinton,,Cumberland Times-News/Cumberland,39.6528654,-78.7625185,,Cumberland Times-News/Cumberland,"Engaging in domestic politics and government, and practicing international diplomacy, require an ability to compromise that Trump has never demonstrated. Clinton has been doing this for years, first as a U.S. senator and then as secretary of state. She has had to remain at least outwardly calm while dealing with personalities and situations that would send Trump into orbit faster than a Saturn 5 rocket."
96,Grand Junction Daily Sentinel,Grand Junction,Colorado,26895,10/9/2016,Not Donald Trump,Mitt Romney,Grand Junction Daily Sentinel/Grand Junction,39.0638705,-108.5506486,,Grand Junction Daily Sentinel/Grand Junction,The evidence that Trump is unqualified or unfit for the presidency has been there all along. This is just the exclamation point that could convince moderate Republicans to break with their own tradition of voting for the GOP.
97,Courier News,Somerville,New Jersey,11943,10/9/2016,Hillary Clinton,,Courier News/Somerville,40.5742696,-74.60988,,Courier News/Somerville,"Trump is a disgrace to the nation. He should abandon the race now — for the good of the nation and the good of the Republican Party. If he refuses, as he has so far insisted he will do, every Republican leader and every Republican candidate on the ballot next month should condemn him and publicly urge him to terminate his campaign."
98,Marin Independent Journal,San Rafael,California,27203,10/9/2016,Hillary Clinton,Barack Obama,Marin Independent Journal/San Rafael,37.9735346,-122.5310874,,Marin Independent Journal/San Rafael,We did not endorse Trump in the June primary because we did not think he had the temperament to lead our nation or be the leader of the free world. He hasn’t changed our minds.
99,Gloucester Daily Times,Gloucester,Massachusetts,10334,10/9/2016,Hillary Clinton,,Gloucester Daily Times/Gloucester,42.6159285,-70.6619888,,Gloucester Daily Times/Gloucester,"Where Trump is shallow and ignorant, Clinton is worldly, knowledgeable and skilled in the art of real politics, both domestic and foreign."
100,The Salem News,Salem,Massachusetts,20330,10/9/2016,Hillary Clinton,,The Salem News/Salem,42.51954,-70.8967155,,The Salem News/Salem,"Say what you will about Clinton, but she is tough, pragmatic, resilient and experienced. And unlike her opponent, Republican Donald Trump, she is not an embarrassing fool. You won’t find her tweeting at 3 a.m., four weeks before Election Day, about a former Miss Universe and her alleged sex tape."
101,Asbury Park Press,Asbury Park,New Jersey,109060,10/9/2016,Hillary Clinton,Barack Obama,Asbury Park Press/Asbury Park,40.2203907,-74.0120817,,Asbury Park Press/Asbury Park,"Trump is a disgrace to the nation. He should abandon the race now — for the good of the country and the good of the Republican Party. If he refuses, as he has so far insisted he will do, every Republican leader and every Republican candidate on the ballot next month should condemn him and publicly urge him to terminate his campaign."
102,Daily Record,Morristown,New Jersey,14952,10/9/2016,Hillary Clinton,,Daily Record/Morristown,40.7967667,-74.4815438,,Daily Record/Morristown,"Over the course of the primary and Republican campaign, it became increasingly clear that Trump was totally unfit for the presidency. He has none of the qualities needed to lead what remains the greatest nation on earth — despite his claims to the contrary. He is arrogant, bigoted, impulsive and crude. He doesn’t read, he doesn’t study up on policy, he is reckless with his words and loose with what he passes off as facts."
103,The Woodward News,Woodward,Oklahoma,4908,10/9/2016,Hillary Clinton,,The Woodward News/Woodward,36.4336481,-99.3903862,,The Woodward News/Woodward,"For our newspaper — a historically conservative voice in a conservative, Republican region of arguably the reddest state in the union — endorsing a Democrat for president is truly an exception."
104,The Register-Herald,Beckley,West Virginia,28670,10/9/2016,Hillary Clinton,,The Register-Herald/Beckley,37.786654,-81.187553,,The Register-Herald/Beckley,The audio represents an extraordinary level of vulgarity never known to a presidential contest in the U.S. and speaks to his ignorance about what constitutes sexual assault.
105,The Huntsville Item,Huntsville,Texas,5506,10/9/2016,Hillary Clinton,,The Huntsville Item/Huntsville,30.7235263,-95.5507771,,The Huntsville Item/Huntsville,"Hillary Clinton, for all her faults, understands the need for political parties to come together at times for the sake of constructing legislation that serve the people. Her ability to react rationally during a national security crisis stands far above Trump’s."
106,News and Tribune,Jeffersonville,Indiana,6052,10/9/2016,Hillary Clinton,,News and Tribune/Jeffersonville,38.270993,-85.740131,,News and Tribune/Jeffersonville,"We endorse Hillary Clinton’s candidacy because she possesses the knowledge and experience to be an effective president. Even when her behavior is benign, her bunker mentality and secretiveness make it look as though she has something to hide — true or not. She, however, has acknowledged these mistakes."
107,Greensburg Daily News,Greensburg,Indiana,5444,10/9/2016,Hillary Clinton,,Greensburg Daily News/Greensburg,39.3372722,-85.483581,,Greensburg Daily News/Greensburg,"The presidency demands an even temper, curiosity, patience, diplomatic skills and self-restraint. The man or woman elected to that office truly is the leader of the free world. Hillary Clinton has exhibited such traits as first lady, U.S. senator and secretary of state."
108,The Daily Item,Sunbury,Pennsylvania,26165,10/9/2016,Hillary Clinton,Barack Obama,The Daily Item/Sunbury,40.862585,-76.7944104,,The Daily Item/Sunbury,"Trump’s myriad issues aside, Hillary Clinton’s record of public service and knowledge of the colossal issues the nation will confront in the next four years make her the obvious choice on Nov. 8."
109,The Norman Transcript,Norman,Oklahoma,15785,10/9/2016,Hillary Clinton,,The Norman Transcript/Norman,35.2225668,-97.4394777,,The Norman Transcript/Norman,"The fact is the world is moving forward, regardless of how much Trump wants to push us back to the 1950s. Americans need a president who is willing and able to take on the challenges of a modern world, enormous challenges that require more than bluster and rhetoric, which appears to be all Trump has to offer."
110,Times West Virginian,Fairmont,West Virginia,11506,10/9/2016,Hillary Clinton,,Times West Virginian/Fairmont,39.4850848,-80.1425781,,Times West Virginian/Fairmont,"We do not have confidence Trump has the capacity to remake himself. He has shown many unacceptable attitudes during his initial run for political office, including blatant bigotry, racism, discrimination, disregard for the U.S. Constitution and contempt for anyone who has a different point of view than his. He has made threats against his opponents, incited crowds to attack those who dare to question his platform and has repeatedly sued news organizations for fact-based reporting."
111,Naples Daily News,Naples,Florida,59079,10/9/2016,No endorsement,Mitt Romney,Naples Daily News/Naples,26.1420358,-81.7948103,,Naples Daily News/Naples,"A week ago, USA TODAY’s editorial board took a stand for the first time in the publication’s 34 years by recommending voters choose anyone but Trump. We decided not to publish that editorial because it takes a side, which we’d already decided we aren’t going to do."
112,Tribune-Star,Terre Haute,Indiana,27895,10/10/2016,Hillary Clinton,,Tribune-Star/Terre Haute,39.4667034,-87.4139092,,Tribune-Star/Terre Haute,"Hillary Clinton is clearly the better choice to serve as America’s 45th president in a complex world. Her skill set and experience match the deep and broad demands of that difficult office. Trump, through his immature actions and statements, has conclusively proven that he represents a threat to the republic and the values upon which its foundation was built."
113,The Joplin Globe,Joplin,Missouri,30558,10/10/2016,Hillary Clinton,Mitt Romney,The Joplin Globe/Joplin,37.0842271,-94.513281,,The Joplin Globe/Joplin,When it comes to the future security of America — the most important issue of our time — Clinton is the candidate who makes the most sense.
114,The Record,Hackensack,New Jersey,175452,10/10/2016,Hillary Clinton,Barack Obama,The Record/Hackensack,40.8859325,-74.0434736,,The Record/Hackensack,The president cannot go on a 3 a.m. Twitter tirade against someone who offended him. The president cannot mock Americans or diminish their worth. The president cannot state that years of negotiated treaties with U.S. allies will be thrown out on a whim. The president cannot think sexual assault is a joke.
115,Bristol Herald Courier,Bristol,Virginia,26166,10/10/2016,No endorsement,,Bristol Herald Courier/Bristol,36.595141,-82.1888089,,Bristol Herald Courier/Bristol,"Is this what our democracy has come to? The choice between an ineffective presidency or a destructive one? Ultimately, the result is the same -- a diminished, weaker United States."
116,The Times Record,Brunswick,Maine,9600,10/10/2016,Hillary Clinton,,The Times Record/Brunswick,43.906143,-69.99922,,The Times Record/Brunswick,"Donald J. Trump is a hateful buffoon who has spent a lifetime elevating himself above others — often at their expense. His weapons of choice are braggadocio and rumor, coupled with a total and overt lack of humility and common decency."
117,Santa Cruz Sentinel,Scotts Valley,California,24000,10/11/2016,Hillary Clinton,Barack Obama,Santa Cruz Sentinel/Scotts Valley,37.0510595,-122.0146841,,Santa Cruz Sentinel/Scotts Valley,With a fact-addled demagogue like Trump running — how can so-called religious leaders on the right still be standing by him? — the option of turning over the world’s future security to this reality-TV bromancer of Vladimir Putin is beyond comprehension.
118,The Goshen News,Goshen,Indiana,15537,10/11/2016,Hillary Clinton,,The Goshen News/Goshen,41.5822716,-85.8344383,,The Goshen News/Goshen,The ease [with] which Trump dismissed as male banter his words about assaulting women perpetuates a culture of silence when little girls are molested and women raped.
119,York Daily Record,York,Pennsylvania,71315,10/11/2016,Not Donald Trump,Barack Obama,York Daily Record/York,39.9625984,-76.727745,,York Daily Record/York,"In the end, it’s hard to believe these are the best candidates the two major parties can field. Mr. Trump is right about one thing. We really do need to make America great again. And we need to start at the grassroots – by raising up better candidates and leaders."
120,The Bernardsville News,Bernardsville,New Jersey,4891,10/11/2016,Hillary Clinton,Barack Obama,The Bernardsville News/Bernardsville,40.7187119,-74.569324,,The Bernardsville News/Bernardsville,"Rarely has a presidential choice been more clear; she, as a former First Lady, former U.S. Senator, former Secretary of State, is hands-down the most qualified candidate to run for president of the United States in decades and we are proud to endorse her."
121,Telegraph Herald,Dubuque,Iowa,34015,10/11/2016,Not Donald Trump,No endorsement,Telegraph Herald/Dubuque,42.5005583,-90.6645718,,Telegraph Herald/Dubuque,"On college campuses every day, there are conversations going on about what constitutes consent and the appropriate approach to a physical relationship. Yet Donald Trump talked about behaviors clearly in the category of sexual assault — and, worse, he doesn’t even seem to realize that."
122,Mineral Wells Index,Mineral Wells,Texas,3119,10/12/2016,Hillary Clinton,,Mineral Wells Index/Mineral Wells,32.8084605,-98.1128223,,Mineral Wells Index/Mineral Wells,"Trump is an unfathomable enigma. His self-assertive and boastful style attracts many potential voters because he speaks freely on any topic. The worrisome parts of his candidness are a tendency to insult ethnic and religious groups, his callous comments about women, and his endless contradictions on issues."
123,Ada Evening News,Ada,Oklahoma,7871,10/12/2016,Hillary Clinton,,Ada Evening News/Ada,34.774531,-96.6783449,,Ada Evening News/Ada,"Simply put, Clinton is the one candidate who presents the opportunity for steady, reliable leadership abroad and here at home. Trump’s policies, meanwhile, represent a dark, dangerous direction for the nation if implemented."
124,The Salt Lake Tribune,Salt Lake City,Utah,133025,10/12/2016,Hillary Clinton,Barack Obama,The Salt Lake Tribune/Salt Lake City,40.7607793,-111.8910474,,The Salt Lake Tribune/Salt Lake City,"Clinton's devotion to making the world a better place for the less fortunate, especially children, has been the core of her whole career. She sees the threats of terror abroad, gun violence at home and climate change globally and has plans to address all of that, and more."
125,The Burlington Free Press,Burlington,Vermont,25848,10/12/2016,Hillary Clinton,Barack Obama,The Burlington Free Press/Burlington,44.4758825,-73.212072,,The Burlington Free Press/Burlington,"Clinton’s record says that she will be, at the very least, an able and competent president. At her best, she has the potential to bring her experience to bear for a presidency that gets things done, and serve as an inspiration for a new generation of women who lived to see this country elect its first female president."
126,Traverse City Record-Eagle,Traverse City,Michigan,39032,10/12/2016,Hillary Clinton,,Traverse City Record-Eagle/Traverse City,44.7630567,-85.6206317,,Traverse City Record-Eagle/Traverse City,Each day that ticks past moves our nation closer to possibly the most important presidential election in recent history — and proves there is only one serious candidate in the race: Democrat Hillary Clinton.
127,Courier-Post,Cherry Hill,New Jersey,43096,10/12/2016,Hillary Clinton,,Courier-Post/Cherry Hill,39.926813,-75.0246312,,Courier-Post/Cherry Hill,"Clinton listens to differing opinions, owns up to her mistakes and moves forward. She is among the most qualified and most vetted candidates ever to seek our nation’s highest office, and she has what it takes to command our troops, stabilize the Supreme Court, fix our aging infrastructure and guide a shift to cleaner energy to meet the challenge of climate change."
128,The Daily Journal,Vineland,New Jersey,9983,10/12/2016,Hillary Clinton,,The Daily Journal/Vineland,39.4863773,-75.0259637,,The Daily Journal/Vineland,"On Nov. 8, Americans have the chance to choose between two visions for America: one that clings to a past that never really existed and one that promises our best days are ahead."
129,Tahlequah Daily Press,Tahlequah,Oklahoma,5688,10/12/2016,Hillary Clinton,,Tahlequah Daily Press/Tahlequah,35.91537,-94.969956,,Tahlequah Daily Press/Tahlequah,"Democrat Hillary Clinton is the only candidate with the experience, qualifications and respect necessary to be the next leader of the free world."
130,Glasgow Daily Times,Glasgow,Kentucky,9925,10/12/2016,Hillary Clinton,,Glasgow Daily Times/Glasgow,36.9958839,-85.9119215,,Glasgow Daily Times/Glasgow,"Hillary Clinton is the clear choice to be the next president of the United States. Her proposals, temperament, willingness to work with the other party and a long resume of public service distinguish her. She has demonstrated that she has the intellect, experience, toughness and courage to serve in the highest office in the land."
131,The San Francisco Examiner,San Francisco,California,254237,10/13/2016,Hillary Clinton,Barack Obama,The San Francisco Examiner/San Francisco,37.785277,-122.407029,,The San Francisco Examiner/San Francisco,"It is fashionable for editorial endorsements for president these days to be more anti-Trump than pro-Clinton, and we will not buck that trend here. As we said in our endorsement for Bernie Sanders in the June primary, Clinton has many drawbacks as a candidate: “Hillary Clinton is a flawed standard bearer for the [Democratic] party.”\nBut they are flaws we can live with. The same can not be said of Trump."
132,The Washington Post,Washington,District of Columbia,620041,10/13/2016,Hillary Clinton,Barack Obama,The Washington Post/Washington,38.902997,-77.030272,,The Washington Post/Washington,"In the gloom and ugliness of this political season, one encouraging truth is often overlooked: There is a well-qualified, well-prepared candidate on the ballot. Hillary Clinton has the potential to be an excellent president of the United States, and we endorse her without hesitation."
133,Daily Review Atlas,Monmouth,Illinois,1328,10/13/2016,No endorsement,No endorsement,Daily Review Atlas/Monmouth,40.9114271,-90.6473576,,Daily Review Atlas/Monmouth,"While we believe newspaper endorsements have value to readers, especially with regard to local races, we simply don’t have the staffing to conduct the process well."
134,Idaho Statesman,Boise,Idaho,52280,10/13/2016,Hillary Clinton,No endorsement,Idaho Statesman/Boise,43.6187102,-116.2146068,,Idaho Statesman/Boise,"Two people with strong, urban New York ties wouldn’t seem to bode well for understanding the needs of rural America. But during Clinton’s days in Arkansas, she developed a sensitivity and empathy for small towns and those living agrarian lifestyles. She reinvented herself and, more importantly, educated herself about the issues rural economies and workers face, and in doing so she is better prepared to understand many issues at the heart of our state."
135,The Meridian Star,Meridian,Mississippi,16188,10/13/2016,Hillary Clinton,,http://www.meridianstar.com/opinion/editorials/experience-temperament-make-clinton-our-choice/article_bfc67860-31eb-560e-83dd-415efe7cad70.htmll,32.3643098,-88.703656,,The Meridian Star/Meridian,
136,Charleston Gazette-Mail,Charleston,West Virginia,65234,10/14/2016,Hillary Clinton,Mitt Romney,http://www.wvgazettemail.com/gazette-endorsements/20161014/gazette-endorsement-hillary-clinton-for-president,38.3498195,-81.6326234,,Charleston Gazette-Mail/Charleston,"By any measure, she is qualified to be president, certainly the most qualified of any candidate in this election. More qualified, Bill Clinton said, than either he or Barack Obama when they asked Americans for their votes.\nYet, there is something else. Hillary has blue-collar roots, from growing up as the daughter of a drapery maker in small-town Illinois, to representing not only urban but also rural New York state. She has spent time in communities like the ones all over West Virginia. That’s not a requirement to be a good president, but it is a comfort when it happens."
137,The Jersey Journal,Secaucus,New Jersey,15410,10/14/2016,Hillary Clinton,Barack Obama,The Jersey Journal/Secaucus,40.73066,-74.06404,,The Jersey Journal/Secaucus,"Former Secretary of State, former U.S. Sen. and former first lady Hillary Clinton deserves our ballots not simply because her election will make history. She deserves our ballots because she will bring to the Oval Office unparalleled experience and proven empathy for people of all walks of life. She will bring a vision for the future that is empowering for the vast majority of Americans. And she will bring the strength to see that vision through to reality."
138,News-Press,Stillwater,Oklahoma,8672,10/14/2016,Hillary Clinton,,News-Press/Stillwater,36.1156071,-97.0583681,,News-Press/Stillwater,"While Trump’s campaign has raised and elevated a number of significantly important issues – immigration, national security, trade, middle class economic angst, law enforcement, and others – his personal remarks, actions and attitudes cannot be overlooked."
139,Miami Herald,Miami,Florida,153360,10/14/2016,Hillary Clinton,Barack Obama,Miami Herald/Miami,25.7883568,-80.1865415,,Miami Herald/Miami,"Ms. Clinton understands the urgency of climate change, and as her recent local appearance with former Vice President Al Gore highlights, she gets that South Florida is Ground Zero for the ravages of sea-level rise. More important, Ms. Clinton has laid out a multi-pronged achievable plan to tackle it. Mr. Trump, by the way, has said climate change is a hoax perpetrated by China."
140,Democrat and Chronicle,Rochester,New York,131456,10/14/2016,Hillary Clinton,Barack Obama,Democrat and Chronicle/Rochester,43.16103,-77.6109219,,Democrat and Chronicle/Rochester,"We are aware that Trump’s most loyal supporters in Rochester will chalk this off as another example of media bias.\nBut, as members of the fourth estate, we are upholding our foremost responsibility, which is to help maintain a functioning democracy. There is no question that this Editorial Board is biased against the selection of a man who, because of his character, is egregiously incapable of contributing to that goal."
141,The Daily Astorian,Astoria,Oregon,6307,10/14/2016,Hillary Clinton,Barack Obama,The Daily Astorian/Astoria,46.1878841,-123.8312534,,The Daily Astorian/Astoria,"Hillary Clinton, by contrast, is fully capable of leading our country. By becoming president she would break barriers that shouldn’t exist. She has prior top-level experience as secretary of state and as first lady of the country while her husband, Bill, was president. She has the professionalism, temperament and sophistication to lead this country, as evidenced by her steady composure during the debates with Trump where he imploded in front of a worldwide audience."
142,The Kansas City Star,Kansas City,Missouri,213169,10/14/2016,Hillary Clinton,Barack Obama,The Kansas City Star/Kansas City,39.095531,-94.579827,,The Kansas City Star/Kansas City,"There are few resumes like hers in politics. She has served the public interest for decades, and that level of involvement would make her the most experienced president-elect to enter the White House since George Herbert Walker Bush."
143,Orlando Sentinel,Orlando,Florida,221613,10/14/2016,Hillary Clinton,Mitt Romney,Orlando Sentinel/Orlando,28.628504,-81.445348,,Orlando Sentinel/Orlando,"Most of her bills as a senator had Republican co-sponsors. She worked across the aisle to get federal funds to rebuild New York after the 9-11 attacks and provide health care for first responders. As secretary of state, she met with leaders in 112 countries, brokered a cease-fire between Israel and Hamas, rallied other world powers to impose sanctions on Iran and continued her career-long advocacy for the rights of women and girls."
144,The Oregonian,Portland,Oregon,216798,10/14/2016,No endorsement,No endorsement,The Oregonian/Portland,45.5968526,-122.7324421,,The Oregonian/Portland,Our goal as an editorial board is to have an impact in our community. And we don't think an endorsement for president would move the needle.
145,Duncan Banner,Duncan,Oklahoma,7875,10/14/2016,Hillary Clinton,,Duncan Banner/Duncan,34.5023028,-97.9578128,,Duncan Banner/Duncan,"We do not come to this lightly. Ours is a conservative community that values fiscal restraint and cherishes Biblical principles. We yearn for a candidate who exemplifies those characteristics. But we must vote on the ballots we are given, and our common values are the precise reason for our choice.\nIt is impossible to champion our community’s shared ideals and accept Trump’s behavior."
146,Lexington Herald-Leader,Lexington,Kentucky,88343,10/14/2016,Hillary Clinton,Barack Obama,Lexington Herald-Leader/Lexington,38.041687,-84.487869,,Lexington Herald-Leader/Lexington,"There may be emotional satisfaction in shouting about a “war on coal” and blaming Appalachia’s decades-old problems on President Barack Obama. But when the noise dies down and the election is over, sound bites will do nothing to help rebuild the region.\nClinton has committed to a Marshall Plan for Appalachia and said she will assign her husband, former President Bill Clinton, to see that it gets done."
147,The Express-Star,Chickasha,Oklahoma,4670,10/14/2016,Hillary Clinton,,The Express-Star/Chickasha,35.052565,-97.9364326,,The Express-Star/Chickasha,"Clinton’s failures pale compared to Trump’s. Far from a defender of freedom, he vows to ban people’s entry into the U.S. based upon religious belief. He wears his history of tax-avoidance as a badge of honor. He is unscrupulous, lying directly to the media and voters. We don’t recall a time in history that any other candidate could have weathered the storm that has followed Trump – yet he endures."
148,The York Dispatch,York,Pennsylvania,37000,10/14/2016,Hillary Clinton,,The York Dispatch/York,39.9625984,-76.727745,,The York Dispatch/York,"On the one hand is an intelligent woman who is eminently qualified to lead our country — and on the other is an ignorant buffoon most decent Americans would be ashamed to have in their own homes, much less send to the White House."
149,El Nuevo Herald,Miami,Florida,59617,10/14/2016,Hillary Clinton,,El Nuevo Herald/Miami,25.7616798,-80.1917902,,El Nuevo Herald/Miami,"La afirmación de que Hillary Clinton es el menor de dos males es errónea. Clinton es una mujer pragmática y decidida, de firme convicción política, con un demostrado dominio de la política. Y sí, políticamente ha cometido errores. Pero Donald Trump es un ser humano con graves problemas."
150,The Times-Picayune,New Orleans,Louisiana,108690,10/15/2016,Hillary Clinton,No endorsement,The Times-Picayune/New Orleans,29.9510658,-90.0715323,,The Times-Picayune/New Orleans,"[F]or New Orleanians, perhaps the most compelling contrast between Mr. Trump and Mrs. Clinton is his intolerance and her inclusiveness. New Orleans has diversity in its DNA. A president who routinely degrades African-Americans, Hispanics, Muslims and women could not, and would not, represent us."
151,Mt. Vernon Register-News,Mt. Vernon,Illinois,8215,10/15/2016,Hillary Clinton,,Mt. Vernon Register-News/Mt. Vernon,38.3172714,-88.9031201,,Mt. Vernon Register-News/Mt. Vernon,"Republican Donald Trump has consistently displayed traits that are frighteningly dangerous if he were to be trusted with the awesome responsibility of being commander in chief and the most powerful person in the world — narcissism, impatience, impulsiveness, fear-mongering, misogyny, and xenophobia among them."
152,The Providence Journal,Providence,Rhode Island,99908,10/15/2016,Hillary Clinton,Barack Obama,The Providence Journal/Providence,41.8239891,-71.4128343,,The Providence Journal/Providence,"In this environment, there is one candidate who has the intellect, calmness, toughness and experience to lead America through these troubled times. That is why we enthusiastically endorse Democrat Hillary Clinton for president."
153,The Des Moines Register,Des Moines,Iowa,174208,10/15/2016,Hillary Clinton,Mitt Romney,The Des Moines Register/Des Moines,41.5178973,-93.6714386,,The Des Moines Register/Des Moines,"For those who believe America should be a beacon of a hope in a world ravaged by terrorism, that it should be a force for good and that its leaders should embody all that is best about this nation, there is only one choice for president: Hillary Clinton."
154,Reporter-Herald,Loveland,Colorado,15290,10/15/2016,Hillary Clinton,Mitt Romney,Reporter-Herald/Loveland,40.3977612,-105.0749801,,Reporter-Herald/Loveland,"Several conservative candidates with the leadership experience, character, aptitude, credentials and ideas to serve this nation well in the White House failed in the primary, and others chose not to run. Of the candidates in all parties who remain in this race, only one can lead this nation for the next four years, and that person is Hillary Clinton."
155,Peoria Journal Star,Peoria,Illinois,68791,10/15/2016,Hillary Clinton,Mitt Romney,Peoria Journal Star/Peoria,40.6936488,-89.5889864,,Peoria Journal Star/Peoria,"We flirted with a non-endorsement, but concluded that would be a cop-out, an abdication of the role and responsibility of any self-respecting opinion page. That's especially so given our concerns go well beyond policy differences to the potential danger posed by one of the candidates, who threatens to take a sledgehammer to the very pillars of our republic."
156,Omaha World-Herald,Omaha,Nebraska,117059,10/15/2016,Hillary Clinton,Mitt Romney,Omaha World-Herald/Omaha,41.2523634,-95.9979883,,Omaha World-Herald/Omaha,"With that much on the line, the prudent vote would go toward the least risky candidate for president. Put another way, the candidate who would have the best chance to implement changes by working with Congress, foreign and domestic leaders and military leaders under normal circumstances as well as during a crisis."
157,Roswell Daily Record,Roswell,New Mexico,10389,10/15/2016,No endorsement,,Roswell Daily Record/Roswell,33.3942655,-104.5230242,,Roswell Daily Record/Roswell,"[T]his time around, we feel endorsements could further divide this city along partisan lines, and right now it’s more important to communicate fair-mindedness than it is to tell you how we’ll be voting. Besides, we can’t even agree among ourselves on who to vote for."
158,The Santa Fe New Mexican,Santa Fe,New Mexico,19836,10/15/2016,Hillary Clinton,Barack Obama,The Santa Fe New Mexican/Santa Fe,35.6070946,-106.0388618,,The Santa Fe New Mexican/Santa Fe,"Vote <i>for</i> her, not just against Trump. Hillary Clinton has earned the nation’s support. She is seasoned. She is smart. And she — in the words of her opponent — won’t quit. "
159,The Herald Bulletin,Anderson,Indiana,18160,10/15/2016,Hillary Clinton,Barack Obama,The Herald Bulletin/Anderson,40.1053196,-85.6802541,,The Herald Bulletin/Anderson,"Change for the sake of change alone is a bad idea, while a comprehensive, considered, informed agenda to meet challenges at home and abroad is the key to our country's future."
160,Midland Daily News,Midland,Michigan,13803,10/15/2016,Hillary Clinton,Mitt Romney,Midland Daily News/Midland,43.6155825,-84.2472116,,Midland Daily News/Midland,"In choosing Clinton, we recognize the historic nature of her candidacy — an opportunity to break a centuries-old barrier and become the first woman to be president since the founding of our nation. But we also recognize that in terms of governmental philosophy, there is not much that we agree on."
161,Longmont Times-Call,Longmont,Colorado,11435,10/15/2016,Hillary Clinton,Mitt Romney,Longmont Times-Call/Longmont,40.1672068,-105.1019275,,Longmont Times-Call/Longmont,"This is not an endorsement taken lightly, nor is it an easy one to make, as Hillary Clinton does not represent the fiscal conservatism, free-market mind-set and desire to keep restraints on government overreach that this newspaper usually supports.\nSadly, neither does Trump, as evidenced by his enthusiastic support of eminent domain; his insistence that an impractical, multibillion-dollar wall (which also would mean taking private property owners' land) would be a good investment; his admiration of tyrants, attacks on free speech and instinct to use brash threats as a military strategy; and his pledge that if elected he would jail his opponent, something that has no place in American politics."
162,The Modesto Bee,Modesto,California,68000,10/15/2016,Hillary Clinton,No endorsement,The Modesto Bee/Modesto,37.6995599,-121.0539696,,The Modesto Bee/Modesto,"What doesn’t concern us, though, are her ideas, qualifications and demeanor. Throughout this campaign, the debates and vicious internet attacks, she has shown that she has what it takes to lead."
163,Concord Monitor,Concord,New Hampshire,22747,10/16/2016,Hillary Clinton,Barack Obama,Concord Monitor/Concord,43.2736729,-71.5637827,,Concord Monitor/Concord,"It will come as a surprise to no one that this newspaper strongly endorses Hillary Clinton for president. Her opponent, Donald Trump, is completely unfit to serve and unfit to be a role model for anyone, let alone children. And that’s enough about him."
164,The Bulletin,Bend,Oregon,27599,10/16/2016,Hillary Clinton,Mitt Romney,The Bulletin/Bend,44.0581728,-121.3153096,,The Bulletin/Bend,"It doesn’t matter what a candidate thinks about, oh, tax policy and federal land management if that candidate is neither qualified for the nation’s most important elective office nor temperamentally suited to it. Such is the case with Trump, who has never held elective office of any kind."
