"id","newspaper","city","state","circulation","date","e2016","e2012","link","lat","lng","combo","blurb"
22,"USA Today","National","National",3866618,"September 29","Not Donald Trump","No endorsement","http://www.usatoday.com/story/opinion/2016/09/29/dont-vote-for-donald-trump-editorial-board-editorials-debates/91295020/",38.93222,-77.219023,"USA Today/National","In the 34-year history of USA TODAY, the Editorial Board has never taken sides in the presidential race. Instead, we’ve expressed opinions about the major issues and haven’t presumed to tell our readers, who have a variety of priorities and values, which choice is best for them. Because every presidential race is different, we revisit our no-endorsement policy every four years. We’ve never seen reason to alter our approach. Until now."
23,"Sun-Sentinel","Fort Lauderdale","Florida",210856,"September 30","Hillary Clinton","Mitt Romney","http://www.sun-sentinel.com/opinion/endorsements/fl-endorsement-hillary-clinton-president-20161001-story.html",26.1224386,-80.1373174,"Sun-Sentinel/Fort Lauderdale","The very bottom line? Trump is not qualified. Hillary is fully qualified to serve as president of the United States. Use your vote to swing this swing state to Hillary."
24,"Chicago Tribune","Chicago","Illinois",769215,"September 30","Gary Johnson","Barack Obama","http://www.chicagotribune.com/news/opinion/editorials/ct-gary-johnson-president-endorsement-edit-1002-20160930-story.html",41.8826671,-87.6237626,"Chicago Tribune/Chicago","Theirs is small-L libertarianism, built on individual freedom and convinced that, at both ends of Pennsylvania Avenue, official Washington is clumsy, expensive and demonstrably unable to solve this nation's problems. They speak of reunifying an America now balkanized into identity and economic groups — and of avoiding their opponents' bullying behavior and sanctimonious lectures."
25,"The San Diego Union-Tribune","San Diego","California",334723,"September 30","Hillary Clinton","Mitt Romney","http://www.sandiegouniontribune.com/opinion/the-conversation/sd-hillary-clinton-endorsement-for-president-20160929-story.html",32.715738,-117.1610838,"The San Diego Union-Tribune/San Diego","This paper has not endorsed a Democrat for president in its 148-year history. But we endorse Clinton. She’s the safe choice for the U.S. and for the world, for Democrats and Republicans alike."
26,"Chicago Sun-Times","Chicago","Illinois",479998,"September 30","Hillary Clinton","No endorsement","http://chicago.suntimes.com/opinion/editorial-vote-for-clinton-and-avert-a-train-wreck/",41.8428532,-87.6683989,"Chicago Sun-Times/Chicago","We endorse the real Hillary Clinton, flawed but upstanding, not the caricature created by her detractors over 30 years. Spare us the manufactured scandal of Benghazi. Spare us the baseless questions about her health. We endorse the Hillary Clinton who grew up in Park Ridge wanting to change the world, who worked for the welfare of children in Arkansas, who worked effectively across party lines as a senator from New York and who gave her all as a globetrotting secretary of state. "
27,"El Paso Times","El Paso","Texas",42855,"September 30","Hillary Clinton","Barack Obama","http://www.elpasotimes.com/story/opinion/2016/09/30/editorial-hillary-clinton-clear-choice-president/91322782/",31.879054,-106.421044,"El Paso Times/El Paso","A Trump presidency would be a disaster for our country, and worse for those of us on the border. His promises to make Mexico pay for a needless wall between our nations, and his vow to unilaterally terminate vital trade agreements, would disrupt one of the United States’ most important international relationships and set the border economy back decades."
28,"Asheville Citizen-Times","Asheville","North Carolina",43096,"September 30","Hillary Clinton","Barack Obama","http://www.citizen-times.com/story/opinion/editorials/2016/09/30/view-clinton-qualified-pick-th-us-president/91315090/",35.5950581,-82.5514869,"Asheville Citizen-Times/Asheville","North Carolina has witnessed more than its fair share of extremist political volleying this year, to the detriment of our economy and to our citizens' best interest. Now more than ever, we need a leader who will work across the aisle to bridge those gaps – a task Clinton has taken on with great success for decades."
29,"The Desert Sun","Palm Springs","California",34114,"September 30","Hillary Clinton","Mitt Romney","http://www.desertsun.com/story/opinion/editorials/2016/09/30/our-voice-presidential-endorsement-hillary-clinton/91323990/",33.833562,-116.503789,"The Desert Sun/Palm Springs","While Trump’s misogyny and demonization of Hispanics and Muslims has ushered him to the threshold of the White House, a coalition built on “us vs. them” bodes ill for the nation’s future. The world will be a much more dangerous place if our next president is motivated by personal vendettas conveyed through vile, monosyllabic utterances."
30,"The Sacramento Bee","Sacramento","California",264083,"September 30","Hillary Clinton","Barack Obama","http://www.sacbee.com/opinion/editorials/article105089096.html",38.5527785,-121.379682,"The Sacramento Bee/Sacramento","We know what to expect from a Clinton presidency. She is not a charismatic, inspirational leader. But she is a hardworking, smart politician who can tackle terrorism, financial insecurity and the other very complicated problems we face today. With an even moderately cooperative Congress, she will make America a fairer place with more opportunity."
31,"The Courier","Findlay","Ohio",22425,"October 1","No endorsement","Mitt Romney","http://thecourier.com/opinion/couriers-view/2016/10/01/why-we-wont-endorse-trump-or-clinton/",41.04422,-83.6499321,"The Courier/Findlay","Trump regularly careens far afield from what we expect from our president. He lacks simple honesty, integrity, temperament, intelligence, empathy, brotherhood, consistency, equality, manners, and courtesy, not to mention reasonable conservative policies and values."
32,"Corpus Christi Caller-Times","Corpus Christi","Texas",57239,"October 1","Hillary Clinton","No endorsement","http://archive.caller.com/opinion/editorials/our-support-for-hillary-clinton-is-enthusiastic-3da79118-75be-1951-e053-0100007f9177-395461761.html",27.8005828,-97.396381,"Corpus Christi Caller-Times/Corpus Christi","The woman who memorably declared that women's rights are human rights and that it takes a village to raise a child is the candidate who has the right priorities and the perceptiveness to make this divided but great country greater."
33,"The Charlotte Observer","Charlotte","North Carolina",157383,"October 1","Hillary Clinton","Barack Obama","http://www.charlotteobserver.com/opinion/editorials/article105437296.html",35.2270869,-80.8431267,"The Charlotte Observer/Charlotte","Both Democrats and Republicans also can find comfort in Clinton’s policy positions. She’s one of the most moderate Democratic nominees in decades, with a fondness for trade deals and a hawkishness on foreign policy that makes the far-left wing of her party uneasy."
34,"The Spectrum","St. George","Utah",14545,"October 1","No endorsement","","http://www.thespectrum.com/story/opinion/2016/10/01/when-you-go-vote-vote-your-conscience/91386892/",37.0965278,-113.5684164,"The Spectrum/St. George","There will be voters who best identify with Donald Trump. Those people should vote their conscience.\nThere will be other voters who best identify with Hillary Clinton, the Democratic nominee. Those people should vote their conscience."
35,"San Antonio Express News","San Antonio","Texas",356401,"October 2","Hillary Clinton","Barack Obama","http://www.mysanantonio.com/opinion/editorials/article/Clinton-the-logical-choice-for-president-9517516.php",29.4241219,-98.4936282,"San Antonio Express News/San Antonio","In Clinton, Democrats have offered a flawed candidate with a penchant for unforced errors and secrecy, both of which fuel distrust. But Trump’s policy prescriptions alone — much less his abundant character flaws — simply render him unqualified."
36,"The News-Gazette","Champaign-Urbana","Illinois",47019,"October 2","No endorsement","Mitt Romney","http://www.news-gazette.com/opinion/editorials/2016-10-02/nobody-president.html/",40.1105875,-88.2072697,"The News-Gazette/Champaign-Urbana","Can Republicans really take much satisfaction in a Trump presidency, when he is such a political wild card?\nCan Democrats genuinely look forward to four years of a Clinton presidency marked by the stunning dishonesty that could easily have resulted in a criminal indictment for mishandling classified information on her private email systems?"
37,"The Spokesman-Review","Spokane","Washington",95939,"October 2","Hillary Clinton","Mitt Romney","http://www.spokesman.com/stories/2016/oct/02/clinton-the-rational-choice-for-president/",47.6587802,-117.4260466,"The Spokesman-Review/Spokane","From puerile feuding, to “birtherism,” to bigotry, Trump’s candidacy draws out the ugly side of America. He seems incapable of accurately discussing any issue, choosing instead to pull the pin on verbal grenades, many of which blow up in his face. His claim that the election is rigged undermines the very task that thousands of candidates in local, state and national elections have undertaken in earnest."
38,"Waco Tribune-Herald","Waco","Texas",36065,"October 2","No endorsement","Mitt Romney","http://www.wacotrib.com/opinion/columns/bill_whitaker/bill-whitaker-many-of-us-had-a-big-hand-in/article_38125ac1-3154-5916-9637-07f3c515d1ba.html",31.549333,-97.1466695,"Waco Tribune-Herald/Waco","So given that the 2016 election has steadily devolved into a shabby circus that would shame the Founders and provides comfort to our enemies and anxiety to our allies, we leave the decision to each and every voter. Step right up and pick your poison: The Dragon Lady in Ring No. 1 or the Snake Man in Ring No. 2."
39,"The Bakersfield Californian","Bakersfield","California",37863,"October 3","No endorsement","No endorsement","http://www.bakersfield.com/news/politics/our-view-presidential-decision-the-lesser-of-two-evils/article_8f99852e-28dd-53c0-a4d5-25a67df149bd.html",35.3732921,-119.0187125,"The Bakersfield Californian/Bakersfield","Donald Trump, the Republican nominee, is erratic, reckless, coarse and utterly lacking in statesmanship. He has a less-than-solid grasp of policy issues and shows little interest in changing that. His candidacy has alarmed conservative U.S. leaders and America’s global allies alike.\nHillary Clinton, the Democratic nominee, lacks candor, oozes a sense of entitlement and has demonstrated stunning carelessness in the handling of classified information.\nBoth have enough skeletons in their closets to supply the props for a horror movie."
40,"Florida Today","Melbourne","Florida",80656,"October 3","No endorsement","Mitt Romney","http://www.floridatoday.com/story/opinion/columnists/bob-gabordi/2016/10/02/we-didnt-and-not-endorsing-president/91438268/",28.0836269,-80.6081089,"Florida Today/Melbourne","I sometimes wonder – truly – if our brand of democracy will survive the current polarization and anger. It has become popular to denigrate and demonize people who disagree with our own opinions. Instead of intellectually debating a newspaper opinion or columnist, we now threaten to put them out of business, to literally shut down debate so that the only voices that can be heard are those that sound exactly like our own."
41,"Austin American-Statesman","Austin","Texas",191000,"October 4","No endorsement","No endorsement","http://viewpoints.blog.statesman.com/2016/02/15/heres-why-we-are-not-endorsing-in-the-presidential-primary/",30.245701,-97.768814,"Austin American-Statesman/Austin",""
42,"Tampa Bay Times","St. Petersburg","Florida",475942,"October 6","Hillary Clinton","Barack Obama","http://www.tampabay.com/opinion/editorials/times-recommends-hillary-clinton-for-president/2296789",28.065116,-82.4361793,"Tampa Bay Times/St. Petersburg","Hillary Clinton is the only candidate for president with the values, experience and knowledge to meet the challenges at home and abroad. Donald Trump is stunningly unprepared and temperamentally unfit for the presidency, and he has played upon our deepest fears and worst impulses with reckless rhetoric, wild promises and flagrant disregard for the truth. "
43,"Effingham Daily News","Effingham","Illinois",12726,"October 6","Hillary Clinton","","http://www.effinghamdailynews.com/opinion/editorials/our-view-effingham-daily-news-endorses-hillary-clinton/article_4db7f276-0fb4-5a1f-b54a-f8756452e73d.html",39.1200418,-88.5433829,"Effingham Daily News/Effingham","Competence is now the only issue in a campaign that has wallowed too long in a fog of rhetoric and hyperbole."
44,"Bangor Daily News","Bangor","Maine",52695,"October 7","Hillary Clinton","Barack Obama","http://bangordailynews.com/2016/10/07/opinion/editorials/hillary-clinton-has-the-vision-experience-and-temperament-to-serve-as-our-next-president/",44.8011821,-68.7778138,"Bangor Daily News/Bangor","Clinton’s extensive record and her detailed campaign proposals paint the picture of someone who is committed to using government to make a positive difference in people’s lives, while doing so in a fiscally responsible way that allows the economy to flourish and lets as many people as possible share in the benefits."
45,"Hartford Courant","Hartford","Connecticut",178515,"October 7","Hillary Clinton","Barack Obama","http://www.courant.com/opinion/editorials/hc-ed-courant-endorses-hillary-clinton-20161006-story.html",41.7637111,-72.6850932,"Hartford Courant/Hartford","But this is — unfortunately — no longer an election about those issues. Mr. Trump, through his threats, mocking and willingness to insult women, Hispanics, African-Americans, Muslims, the disabled, people who are overweight and others, has turned this into a referendum on what kind of America we want to be:\nThe kind where everyone is treated equally, or a nation that indulges hate, prejudice and fear?"
46,"The Denver Post","Denver","Colorado",573542,"October 7","Hillary Clinton","Barack Obama","http://www.denverpost.com/2016/10/07/denver-post-endorses-hillary-clinton-for-president/",39.7392358,-104.990251,"The Denver Post/Denver","Democrat Hillary Clinton, the first woman ever to win a major-party nomination, is without question the most qualified candidate in the race for president and an easy call to make when considering the challenges confronting the nation."
47,"The Seattle Times","Seattle","Washington",352131,"October 7","Hillary Clinton","Barack Obama","http://www.seattletimes.com/opinion/editorials/the-times-recommends-hillary-clinton-the-only-choice-for-president/",47.6114776,-122.3370786,"The Seattle Times/Seattle","Both candidates are flawed. But one of them, Republican nominee Donald Trump, poses an enormous risk to America’s prosperity, security and stability."
48,"Ventura County Star","Camarillo","California",80494,"October 7","Hillary Clinton","Barack Obama","http://www.vcstar.com/story/opinion/editorials/2016/10/07/editorial-hillary-clinton-should-our-next-president/91689296/",34.2163937,-119.0376023,"Ventura County Star/Camarillo","Hillary Clinton is a leader. She understands the world. She knows how to govern. She has spent a lifetime advocating for, and helping to enact, change for women, children and impoverished individuals from Alabama to Sudan. She has demonstrated, through 45 years of commitment to improving the world, that she knows how to carry out her vision for the betterment of each of us."
49,"The Cullman Times","Cullman","Alabama",11425,"October 7","Hillary Clinton","","http://www.cullmantimes.com/opinion/the-times-editorial-clinton-only-choice-for-president/article_6eb95a04-8c1e-11e6-ad0e-fb5a6f602dc4.html",34.1748208,-86.8436124,"The Cullman Times/Cullman","Trump shows little understanding of the complexities of domestic and international challenges. His thin skin, impulsiveness and temperament make him a high risk in tense situations. He offers no ideas on how to address increasing racial unrest in urban cities. He cavalierly promises to destroy ISIS with military power and illegal torture. He talks of abandoning NATO and terminating longstanding defense agreements with Japan and South Korea. If elected, there is a strong possibility he might isolate the United States from the world no matter the dire consequences."
50,"The Daily Star","Oneonta","New York",9314,"October 7","Hillary Clinton","","http://www.thedailystar.com/opinion/editorials/in-our-opinion-we-endorse-hillary-clinton-for-president/article_4df43b20-a28d-599a-9e8b-73e83ffabfbe.html",42.4528571,-75.0637746,"The Daily Star/Oneonta","A president’s first and most important duty is to keep Americans safe. Clinton’s background, her intense interest in and study of foreign affairs and her experience in dealing with domestic and overseas terrorism are in marked contrast with Trump’s cavalier attitude and unwillingness to tell the public specifics about what how he would counter threats from ISIS and others who would harm our country."
51,"The Post-Standard","Syracuse","New York",69412,"October 7","Hillary Clinton","No endorsement","http://www.syracuse.com/opinion/index.ssf/2016/10/editorial_endorsement_hillary_clinton_for_president_in_2016.html",43.0481221,-76.1474244,"The Post-Standard/Syracuse","Of these four less-than-ideal candidates, the Syracuse Media Group editorial board endorses Clinton  for her knowledge, her experience, her empathy, her steadiness under fire and her willingness to reach across the aisle for bipartisan solutions to the complex problems we face."
52,"Santa Barbara News-Press","Santa Barbara","California",44912,"October 7","Donald Trump","Mitt Romney","http://www.newspress.com/Top/Article/article.jsp?Section=OPINIONS-LETTERS&ID=567633525868724261",34.4208305,-119.6981901,"Santa Barbara News-Press/Santa Barbara",""
53,"Bluefield Daily Telegraph","Bluefield","West Virginia",20361,"October 8","Hillary Clinton","Mitt Romney","http://www.bdtonline.com/opinion/endorsement-hillary-clinton-is-best-prepared-for-the-presidency/article_60652052-8cdf-11e6-87a7-8783890def68.html",37.2698395,-81.2223195,"Bluefield Daily Telegraph/Bluefield","[Clinton's] experience and public service to the nation as First Lady for eight years, U.S. Senator for eight years and Secretary of State for four years have prepared her to be president and commander in chief. Trump, while inviting to some as a chance for dramatic change, has zero public service experience. For the past 1 1/2 years of his campaign, he has raised serious questions about his values, his temperament and his bombastic promises."
54,"Lockport Union-Sun & Journal","Lockport","New York",13528,"October 8","Hillary Clinton","","http://www.lockportjournal.com/opinion/our-view-hillary-clinton-should-be-president/article_23fba3e0-5557-54cf-8da3-5cc6e108cfb1.html",43.1706128,-78.6903098,"Lockport Union-Sun & Journal/Lockport","In this year’s presidential race, only one candidate has any idea what it means to serve something greater than self or the proven ability to do so, and that candidate is Hillary Clinton."
55,"Pharos-Tribune","Logansport","Indiana",10259,"October 8","Hillary Clinton","","http://www.pharostribune.com/opinion/editorials/article_715b9d02-cd34-5663-9b1a-152515494b45.html",40.7544843,-86.3566659,"Pharos-Tribune/Logansport","Throughout her service as First Lady, U.S. Senator, and Secretary of State, Democrat Hillary Clinton has spent nearly 25 years developing the skills, relationships, diplomacy, and knowledge needed to prepare her for the job. She has demonstrated she has the mental toughness, patience, composure, and bipartisan spirit to move the nation forward in matters both foreign and domestic."
56,"St. Louis Post-Dispatch","St. Louis","Missouri",438058,"October 8","Hillary Clinton","Barack Obama","http://www.stltoday.com/news/opinion/columns/the-platform/editorial-hillary-clinton-for-president/article_589a3b9b-8efb-53a6-9129-e0c8a9669ffa.html",38.6398553,-90.2857775,"St. Louis Post-Dispatch/St. Louis","Clinton understands what an awesome responsibility it is to lead a nation because she has spent the bulk of her adult life participating in that very endeavor."
57,"New Castle News","New Castle","Pennsylvania",11391,"October 8","Hillary Clinton","Barack Obama","http://www.ncnewsonline.com/opinion/editorials/no-contest/article_e4257da7-3e79-5582-bfa4-3bfd87e73c90.html",41.0036719,-80.347009,"New Castle News/New Castle","The presidency is not an entry-level position. It demands a depth and breadth of knowledge of critical issues, the willingness to thoughtfully consider facts before acting, and the ability to forge experience into responsible action through sharply honed diplomatic skills, in both foreign and domestic interactions."
58,"The Meadville Tribune","Meadville","Pennsylvania",9049,"October 8","Hillary Clinton","Barack Obama","http://www.meadvilletribune.com/opinion/editorials/editorial-hillary-clinton-is-best-prepared-to-be-president/article_e96d8850-8cb5-11e6-95c8-9be7d5082cea.html",41.6414438,-80.1514484,"The Meadville Tribune/Meadville","Hillary Clinton has honed these skills. Donald Trump, by contrast, does not have comparable experience or the demeanor for the job. He is easily goaded, impatient, insensitive and a demagogue. He doesn’t believe in fact-based discussion of issues. He plays on public fear and anger, shooting from the lip."
59,"Herald-Banner","Greenville","Texas",8267,"October 8","Hillary Clinton","Barack Obama","http://www.heraldbanner.com/opinion/clinton-only-candidate-qualified-to-serve/article_09597594-8d19-11e6-8ad0-e73629d9d444.html",33.1384488,-96.1108066,"Herald-Banner/Greenville","We’re not thrilled with all aspects of Clinton’s record, but we find her far preferable to Republican Donald Trump, who has been unmasked during the campaign as out of step with key conservative principles and unfit for high public office."
60,"The Boston Globe","Boston","Massachusetts",377405,"October 8","Hillary Clinton","Barack Obama","https://www.bostonglobe.com/opinion/editorials/2016/10/08/hillary-clinton-for-president/FskxtCff9ErrN3TW4OJb6O/story.html",42.3181536,-71.0508836,"The Boston Globe/Boston","Only one candidate on the ballot Nov. 8 belongs anywhere near the White House, and it’s Hillary Clinton. The Globe enthusiastically endorses her candidacy, and urges voters to run, not walk, to their nearest polling place when early voting begins in Massachusetts on Oct. 24."
